meal,meal_type,times_served,days_served,notes,price
Vegan chorizo or vegan patty  ,Add-ons ,8AM to 3PM,Tuesday - Sunday,,2.50 
"Guacamole, cheese, pico de gallo, additional egg ",Add-ons ,8AM to 3PM,Tuesday - Sunday,,1
Sour cream  ,Add-ons ,8AM to 3PM,Tuesday - Sunday,,.50 
Egg whites available at no additional charge,Add-ons ,8AM to 3PM,Tuesday - Sunday,,#VALUE!
4 strips of Bacon ,Sides,8AM to 3PM,Tuesday - Sunday,,4.95
2 Sausage patties ,Sides,8AM to 3PM,Tuesday - Sunday,,3.95
Ham ,Sides,8AM to 3PM,Tuesday - Sunday,,3.95
2 vegan patties ,Sides,8AM to 3PM,Tuesday - Sunday,,3.95
Potatoes (v) (WF) ,Sides,8AM to 3PM,Tuesday - Sunday,,3.95 
2 eggs ala carte ,Sides,8AM to 3PM,Tuesday - Sunday,,2.95
disclaimer_one,disclaimer_one,8AM to 3PM,Tuesday - Sunday,(v) Vegan      (WF) Wheat-Free      Please ask if you need us to accommodate a dish and make it wheat-free and/or vegan.,#VALUE!
Bakery: Kelly Beaudoin,Staff,8AM to 3PM,Tuesday - Sunday,,#VALUE!
coffee: Jordan Reinhardt,Staff,8AM to 3PM,Tuesday - Sunday,,#VALUE!
Kitchen: Jen Swanteck,Staff,8AM to 3PM,Tuesday - Sunday,,#VALUE!
Owner: Laura Soncrant,Staff,8AM to 3PM,Tuesday - Sunday,,#VALUE!
disclaimer_two,disclaimer_two,8AM to 3PM,Tuesday - Sunday,"We make the majority of our sauces, dressings, chutneys, marinades, jams & sausages in house. Please be aware ingredients may vary. Please tell your server if you have any allergies.",#VALUE!
disclaimer_three,disclaimer_three,8AM to 3PM,Tuesday - Sunday,"Notice: The consumption of raw Or under cooked eggs, meat, poultry, seafood or shellfish may increase your risk of food-borne illness. Egg whites available at no additional charge",#VALUE!
